protocol,subset_fraction,seed,transaction_count,active_product_count,subset_index_sha256,minimum_support,minimum_support_count,algorithm,maximum_length,status,failure_reason,runtime_seconds,frequent_itemset_count,length_1_count,length_2_count,length_3_count,rss_before_bytes,rss_after_bytes,approximate_rss_delta_bytes,memory_measurement
B_fixed_absolute_support_count,0.5,5503,8950,3705,e845eec77a6b16d15d77b4fef9cbfb0a29c71ffb5448cf2857095c45d87ee00d,0.01005586592178771,90,FP-Growth,3,success,,5.3245200999081135,2360,831,1132,397,211574784,204681216,-6893568,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.5,5503,8950,3705,e845eec77a6b16d15d77b4fef9cbfb0a29c71ffb5448cf2857095c45d87ee00d,0.01005586592178771,90,Apriori,3,success,,3.3933505999157205,2360,831,1132,397,204718080,206639104,1921024,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5501,13425,3751,6fa3a49cab66e3e95fa91d6451820636b9b7aafd9a55c01bc96675d3775fee90,0.005,68,FP-Growth,3,success,,17.967754799989052,18002,1557,9450,6995,205942784,248696832,42754048,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5501,13425,3751,6fa3a49cab66e3e95fa91d6451820636b9b7aafd9a55c01bc96675d3775fee90,0.005,68,Apriori,3,success,,21.854521599947475,18002,1557,9450,6995,249126912,254992384,5865472,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5501,13425,3751,6fa3a49cab66e3e95fa91d6451820636b9b7aafd9a55c01bc96675d3775fee90,0.0067039106145251395,90,FP-Growth,3,success,,12.038405200000852,7084,1246,3973,1865,245530624,239841280,-5689344,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5501,13425,3751,6fa3a49cab66e3e95fa91d6451820636b9b7aafd9a55c01bc96675d3775fee90,0.0067039106145251395,90,Apriori,3,success,,12.54262690001633,7084,1246,3973,1865,238911488,241647616,2736128,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5502,13425,3755,4f72382b4b37cd5e44153f9b3ec48c29948568db0bdc2bd2fd629e545883935c,0.005,68,FP-Growth,3,success,,19.49352099990938,19211,1547,10022,7642,244609024,247820288,3211264,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5502,13425,3755,4f72382b4b37cd5e44153f9b3ec48c29948568db0bdc2bd2fd629e545883935c,0.005,68,Apriori,3,success,,22.812870500027202,19211,1547,10022,7642,248066048,253300736,5234688,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5502,13425,3755,4f72382b4b37cd5e44153f9b3ec48c29948568db0bdc2bd2fd629e545883935c,0.0067039106145251395,90,FP-Growth,3,success,,12.338188600027934,7415,1244,4161,2010,253304832,250961920,-2342912,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5502,13425,3755,4f72382b4b37cd5e44153f9b3ec48c29948568db0bdc2bd2fd629e545883935c,0.0067039106145251395,90,Apriori,3,success,,13.174007199937478,7415,1244,4161,2010,251092992,254738432,3645440,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5503,13425,3760,f2022d396da78c62e7575db162644b080a7e05bd39a3789b4dfcaf8a0eebe8d8,0.005,68,FP-Growth,3,success,,20.56859959999565,19554,1566,10216,7772,243056640,262606848,19550208,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.75,5503,13425,3760,f2022d396da78c62e7575db162644b080a7e05bd39a3789b4dfcaf8a0eebe8d8,0.005,68,Apriori,3,success,,25.416193600045517,19554,1566,10216,7772,262987776,256282624,-6705152,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5503,13425,3760,f2022d396da78c62e7575db162644b080a7e05bd39a3789b4dfcaf8a0eebe8d8,0.0067039106145251395,90,FP-Growth,3,success,,4.987026800052263,7427,1264,4206,1957,255393792,251944960,-3448832,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.75,5503,13425,3760,f2022d396da78c62e7575db162644b080a7e05bd39a3789b4dfcaf8a0eebe8d8,0.0067039106145251395,90,Apriori,3,success,,6.096683399984613,7427,1264,4206,1957,252207104,252919808,712704,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,1.0,0,17901,3791,e81a770cb9e6577a3c82c3d4209f49244f681d5f96c9b366dc0fc0fd35da62f8,0.005,90,FP-Growth,3,success,,11.104805100010708,18681,1564,9814,7303,257839104,301670400,43831296,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,1.0,0,17901,3791,e81a770cb9e6577a3c82c3d4209f49244f681d5f96c9b366dc0fc0fd35da62f8,0.005,90,Apriori,3,success,,16.552387900068425,18681,1564,9814,7303,301993984,281665536,-20328448,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,1.0,0,17901,3791,e81a770cb9e6577a3c82c3d4209f49244f681d5f96c9b366dc0fc0fd35da62f8,0.005027652086475616,90,FP-Growth,3,success,,12.380433200043626,18681,1564,9814,7303,277565440,304054272,26488832,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,1.0,0,17901,3791,e81a770cb9e6577a3c82c3d4209f49244f681d5f96c9b366dc0fc0fd35da62f8,0.005027652086475616,90,Apriori,3,success,,22.032179299974814,18681,1564,9814,7303,303104000,295374848,-7729152,approximate process RSS before/after; not peak memory
