algorithm,run_type,run_index,status,transaction_count,product_count,minimum_support,minimum_support_count,maximum_length,frequent_itemset_count,runtime_seconds,rss_before_bytes,rss_after_bytes,approximate_rss_delta_bytes,memory_measurement,transaction_fraction,subset_method
FP-Growth,scalability,1,success,4475,3791,0.005,23,3,138140,21.304710099939257,388173824,377073664,-11100160,approximate process RSS before/after; not peak memory,0.25,Deterministic prefix of the stable Phase 3 transaction index
Apriori,scalability,1,success,4475,3791,0.005,23,3,138140,22.58990050002467,377806848,377278464,-528384,approximate process RSS before/after; not peak memory,0.25,Deterministic prefix of the stable Phase 3 transaction index
FP-Growth,scalability,1,success,8950,3791,0.005,45,3,16451,8.293898099916987,346025984,337399808,-8626176,approximate process RSS before/after; not peak memory,0.5,Deterministic prefix of the stable Phase 3 transaction index
Apriori,scalability,1,success,8950,3791,0.005,45,3,16451,11.829421899979934,337620992,338972672,1351680,approximate process RSS before/after; not peak memory,0.5,Deterministic prefix of the stable Phase 3 transaction index
FP-Growth,scalability,1,success,13425,3791,0.005,68,3,14477,11.05793720006477,335024128,349011968,13987840,approximate process RSS before/after; not peak memory,0.75,Deterministic prefix of the stable Phase 3 transaction index
Apriori,scalability,1,success,13425,3791,0.005,68,3,14477,15.375255200080574,349155328,346779648,-2375680,approximate process RSS before/after; not peak memory,0.75,Deterministic prefix of the stable Phase 3 transaction index
FP-Growth,scalability,1,success,17901,3791,0.005,90,3,18681,19.704219000064768,332165120,405528576,73363456,approximate process RSS before/after; not peak memory,1.0,Deterministic prefix of the stable Phase 3 transaction index
Apriori,scalability,1,success,17901,3791,0.005,90,3,18681,22.864032899960876,405598208,362102784,-43495424,approximate process RSS before/after; not peak memory,1.0,Deterministic prefix of the stable Phase 3 transaction index
