environment,implementation,run_kind,run_number,status,startup_seconds,loading_seconds,mining_seconds,export_seconds,end_to_end_seconds,approximate_memory_bytes,startup_included,loading_included,mining_included,rule_count
Python 3.11.9 / mlxtend 0.25.0 / pandas sparse,Python,warmup,0,success,0.0,0.7709074999438599,16.084049300057814,0.0,16.85503959993366,285679616,False,True,True,3468
Python 3.11.9 / mlxtend 0.25.0 / pandas sparse,Python,measured,1,success,0.0,0.9068876000819728,16.812108699930832,0.0,17.719048799946904,310124544,False,True,True,3468
Python 3.11.9 / mlxtend 0.25.0 / pandas sparse,Python,measured,2,success,0.0,1.3080396000295875,16.144838000065647,0.0,17.452941700001247,288989184,False,True,True,3468
Python 3.11.9 / mlxtend 0.25.0 / pandas sparse,Python,measured,3,success,0.0,0.9207261999836192,15.06469420006033,0.0,15.985492400010116,309346304,False,True,True,3468
BellSoft OpenJDK 25.0.2 / WEKA 3.8.7 / sparse ARFF,WEKA,warmup,0,success,0.1735863999679932,0.2932153,11.4584598,0.2956012,12.277469499967992,152966048,True,True,True,3468
BellSoft OpenJDK 25.0.2 / WEKA 3.8.7 / sparse ARFF,WEKA,measured,1,success,0.1625213000211811,0.2960912,10.6405939,0.3672425,11.52368490002118,152588424,True,True,True,3468
BellSoft OpenJDK 25.0.2 / WEKA 3.8.7 / sparse ARFF,WEKA,measured,2,success,0.2303519000624092,0.374842,12.5175777,0.3463571,13.533138700062407,155097824,True,True,True,3468
BellSoft OpenJDK 25.0.2 / WEKA 3.8.7 / sparse ARFF,WEKA,measured,3,success,0.2441024000437259,0.5355961,18.906375,0.2726182,20.05030540004373,155441640,True,True,True,3468
