rule_key,simpler_rule_key,antecedent_length,simpler_antecedent_length,confidence,simpler_confidence,absolute_confidence_difference,lift,simpler_lift,relative_lift_gain,is_redundant,criterion
22720 | 23300 => 23301,23300 => 23301,2,1,0.7214285714285714,0.7213333333333334,9.523809523803717e-05,14.381172446706968,14.37927394209354,0.00013203063110645553,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
21314 | 22697 => 22699,22697 => 22699,2,1,0.7515527950310558,0.7510729613733905,0.00047983365766524066,14.072747472647416,14.06376263759944,0.0006388642413485136,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22697 | 82580 => 22699,22697 => 22699,2,1,0.7515527950310558,0.7510729613733905,0.00047983365766524066,14.072747472647416,14.06376263759944,0.0006388642413485136,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22423 | 23171 => 23170,23171 => 23170,2,1,0.8368794326241137,0.8363095238095238,0.0005699088145898479,39.32015412966997,39.29337739032621,0.0006814568032107832,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
23171 | 23245 => 23170,23171 => 23170,2,1,0.8368794326241137,0.8363095238095238,0.0005699088145898479,39.32015412966997,39.29337739032621,0.0006814568032107832,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22197 | 22698 => 22697,22698 => 22697,2,1,0.8211920529801323,0.8205128205128204,0.000679232467311941,15.772702725748228,15.759656652360514,0.0008278145695363621,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
21928 | 22697 => 22699,22697 => 22699,2,1,0.7517730496453903,0.7510729613733905,0.0007000882719997437,14.076871717261644,14.06376263759944,0.0009321175278624857,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22379 | 22697 => 22699,22697 => 22699,2,1,0.7527472527472527,0.7510729613733905,0.0016742913738622134,14.09511356843993,14.06376263759944,0.00222919937205654,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
21993 | 85131B => 85131D,85131B => 85131D,2,1,0.7983193277310925,0.7965116279069767,0.0018076998241157716,69.37239944521498,69.21531384059607,0.0022695209470650394,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22086 | 22579 => 22578,22579 => 22578,2,1,0.8508771929824561,0.8483870967741935,0.002490096208262571,31.798648500164816,31.7055896019934,0.0029350943899673298,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22356 | 22697 => 20724,22356 => 20724,2,1,0.7142857142857143,0.711738484398217,0.0025472298874973376,14.159943046986236,14.109446964797876,0.0035788845809721906,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
21731 | 22697 => 22699,22697 => 22699,2,1,0.7538461538461537,0.7510729613733905,0.0027731924727631974,14.115690376569036,14.06376263759944,0.00369230769230754,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
21931 | 22698 => 22699,22698 => 22699,2,1,0.7793103448275862,0.7763532763532763,0.0029570684743098763,14.592504689078057,14.53713389121339,0.003808921227459713,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22356 | 85123A => 20724,22356 => 20724,2,1,0.7150837988826816,0.711738484398217,0.003345314484464623,14.175764212401864,14.109446964797876,0.004700201770448246,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22699 | 23203 => 22697,22699 => 22697,2,1,0.736,0.7322175732217573,0.003782426778242698,14.136412017167382,14.06376263759944,0.005165714285714247,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22197 | 22697 => 22699,22697 => 22699,2,1,0.755868544600939,0.7510729613733905,0.004795583227548472,14.15355943190524,14.06376263759944,0.006384976525821619,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22916 | 22917 => 22919,22917 => 22919,2,1,0.8925233644859814,0.8874458874458875,0.00507747704009387,68.57107617022984,68.18098210802074,0.005721449737861888,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22197 | 22698 => 22699,22698 => 22699,2,1,0.7814569536423841,0.7763532763532763,0.005103677289107766,14.632699714594477,14.53713389121339,0.006573910930190231,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22699 | 23173 => 22697,22699 => 22697,2,1,0.7373737373737373,0.7322175732217573,0.005156164151980058,14.162797502926258,14.06376263759944,0.007041847041846989,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22917 | 22919 => 22916,22917 => 22916,2,1,0.9317073170731708,0.9264069264069263,0.005300390666244437,72.51518557794274,72.10265386787127,0.005721449737861863,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22697 | 22993 => 22699,22697 => 22699,2,1,0.7570621468926554,0.7510729613733905,0.005989185519264861,14.175909509963834,14.06376263759944,0.007974172719935476,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22697 | 84879 => 22699,22697 => 22699,2,1,0.7571428571428571,0.7510729613733905,0.006069895769466593,14.177420800956366,14.06376263759944,0.008081632653061173,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
23171 | 23245 => 23172,23171 => 23172,2,1,0.7234042553191491,0.7172619047619048,0.006142350557244325,48.68293073108303,48.26956901181525,0.008563609075660112,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
23170 | 23173 => 23171,23170 => 23171,2,1,0.7439024390243902,0.7375328083989501,0.006369630625440159,39.63273083623693,39.29337739032621,0.008636403090009542,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
22698 | 85123A => 22697,22698 => 22697,2,1,0.8270270270270271,0.8205128205128204,0.006514206514206755,15.884775548080272,15.759656652360514,0.007939189189189465,True,abs confidence difference <= 0.05; relative lift gain <= 0.1
